date,city,state,injured,killed,lat,lng
"December 31, 2015",New Orleans,Louisiana,5,0,29.9499323,-90.0701156
"December 27, 2015",Jackson,Tennessee,4,0,35.614517,-88.813947
"December 26, 2015",Philadelphia,Pennsylvania,4,0,39.9523993,-75.1635899
"December 25, 2015",Jacksonville,Florida,4,0,30.3321838,-81.655651
"December 25, 2015",Mobile,Alabama,4,0,30.6943566,-88.0430541
"December 21, 2015",San Leandro,California,4,0,37.7249296,-122.1560768
"December 20, 2015",Wilmington,North Carolina,4,1,34.2257282,-77.9447107
"December 20, 2015",Miami (Goulds),Florida,4,1,25.5705393,-80.3780753
"December 20, 2015",Miami-dade (county),Florida,4,0,25.6364246,-80.4989467
"December 14, 2015",Lovejoy (Brooklyn),Illinois,3,1,38.6603283,-90.1645541
"December 13, 2015",Los Angeles,California,3,1,34.0543942,-118.2439409
"December 13, 2015",Huntington Beach,California,4,0,33.6781238,-118.0000112
"December 12, 2015",Savannah,Georgia,4,0,32.0835407,-81.0998342
"December 11, 2015",Baltimore,Maryland,3,1,39.2908608,-76.6108073
"December 11, 2015",Pittsburgh (Mount Oliver),Pennsylvania,4,0,40.511615,-80.088392
"December 8, 2015",Cincinnati (Fairmount),Ohio,3,1,39.1220037,-84.5477215
"December 6, 2015",Raceland,Louisiana,3,1,29.7274331,-90.598976
"December 6, 2015",Omaha,Nebraska,3,2,41.2587317,-95.9378732
"December 2, 2015",San Bernardino,California,19,16,34.1083449,-117.2897652
"December 2, 2015",Savannah,Georgia,3,1,32.0835407,-81.0998342
"November 29, 2015",Kankakee,Illinois,5,0,41.1200325,-87.8611531
"November 27, 2015",Colorado Springs,Colorado,9,3,38.8339578,-104.8253485
"November 27, 2015",Sacramento,California,2,2,38.5815719,-121.4943996
"November 24, 2015",Horry (county),South Carolina,4,0,33.9204504,-78.9578973
"November 23, 2015",Columbus,Ohio,1,4,39.9622601,-83.0007065
"November 23, 2015",Minneapolis,Minnesota,5,0,44.9772995,-93.2654692
"November 22, 2015",Brownsville,Texas,4,0,25.9140256,-97.4890856
"November 22, 2015",Seattle,Washington,4,0,47.6038321,-122.3300624
"November 22, 2015",New Orleans,Louisiana,17,0,29.9499323,-90.0701156
"November 22, 2015",Newburgh,New York,5,0,41.5034271,-74.0104179
"November 22, 2015",North Charleston,South Carolina,3,1,32.8546197,-79.9748103
"November 22, 2015",Chicago,Illinois,4,0,41.8755546,-87.6244212
"November 21, 2015",Baltimore,Maryland,3,1,39.2908608,-76.6108073
"November 20, 2015",Pittsburgh,Pennsylvania,3,1,40.4416941,-79.9900861
"November 18, 2015",Fresno,California,5,0,36.7394421,-119.7848307
"November 16, 2015",Cherokee (county),Alabama,1,3,34.1142554,-85.6004514
"November 15, 2015",Tennessee Colony,Texas,0,5,31.8354447,-95.8388504
"November 15, 2015",Philadelphia,Pennsylvania,4,0,39.9523993,-75.1635899
"November 14, 2015",Johnstown,Pennsylvania,4,0,40.3267407,-78.9219698
"November 13, 2015",Jacksonville,Florida,1,4,30.3321838,-81.655651
"November 9, 2015",Indianapolis,Indiana,2,2,39.7683331,-86.1583502
"November 8, 2015",Warren,Michigan,4,0,42.4775364,-83.0277001
"November 8, 2015",Des Moines,Iowa,3,1,41.5910641,-93.6037149
"November 7, 2015",Denver,Colorado,3,1,39.7391536,-104.9847034
"November 6, 2015",Bakersfield,California,4,0,35.3738712,-119.0194639
"November 3, 2015",Jacksonville,Florida,3,2,30.3321838,-81.655651
"November 2, 2015",Pendleton,South Carolina,0,4,34.6508092,-82.7820663
"October 28, 2015",Houma,Louisiana,3,1,29.5957696,-90.7195348
"October 27, 2015",Fort Worth,Texas,5,0,32.753177,-97.3327459
"October 26, 2015",Evansville,Indiana,5,0,37.9747645,-87.5558483
